,product_id,product_category,product_name,product_price,scrapy_datetime,style_id,color_id,Fit,Composition,size_number,size_model,cotton,spandex,elasterell
144,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
145,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
146,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
147,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
148,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
149,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
150,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
151,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
152,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
153,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
154,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
155,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
156,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
157,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
158,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
159,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
160,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",187,32/32,0.98,0.02,
162,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",187,32/32,0.98,0.02,
164,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",187,32/32,0.98,0.02,
166,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",187,32/32,0.98,0.02,
168,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",187,32/32,0.98,0.02,
170,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",187,32/32,0.98,0.02,
172,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",187,32/32,0.98,0.02,
174,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",187,32/32,0.98,0.02,
176,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",187,32/32,0.98,0.02,
178,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",187,32/32,0.98,0.02,
180,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",187,32/32,0.98,0.02,
182,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",187,32/32,0.98,0.02,
184,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",187,32/32,0.98,0.02,
186,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",187,32/32,0.98,0.02,
188,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",187,32/32,0.98,0.02,
190,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",187,32/32,0.98,0.02,
193,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",184,31/32,0.98,0.02,
195,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",184,31/32,0.98,0.02,
197,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",184,31/32,0.98,0.02,
199,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",184,31/32,0.98,0.02,
201,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",184,31/32,0.98,0.02,
203,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",184,31/32,0.98,0.02,
205,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",184,31/32,0.98,0.02,
207,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",184,31/32,0.98,0.02,
209,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",184,31/32,0.98,0.02,
211,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",184,31/32,0.98,0.02,
213,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",184,31/32,0.98,0.02,
215,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",184,31/32,0.98,0.02,
217,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",184,31/32,0.98,0.02,
219,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",184,31/32,0.98,0.02,
221,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",184,31/32,0.98,0.02,
223,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",184,31/32,0.98,0.02,
224,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
225,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
226,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
227,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
228,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
229,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
230,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
231,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
232,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
233,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
234,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
235,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
236,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
237,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
238,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
239,690449051,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,51,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
240,690449043,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,43,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
241,690449043,men_jeans_ripped,skinny_jeans,39.99,2021-11-17 11:36:50,690449,43,skinny_fit,"Cotton 98%, Spandex 2%",,,0.98,0.02,
